backside,ひっぷ
Bolshevik (rus: Bolsheviki),ぼりしぇびき
Bolshevism (rus: Bol'shevizm),ぼりしぇびずむ
policing,ぽりしんぐ
police,ぽりす
polis (ancient Greek city state) (gre: polis),ぽりす
#NAME?,ぽりす
police academy,ぽりすあかでみー
police court,ぽりすこーと
polystyrene,ぽりすちれん
polystyrol,ぽりすちろーる
holistic,ほりすてぃっく
holistic medicine,ほりすてぃっくいがく
holistic health,ほりすてぃっくへるす
police box,ぽりすぼっくす
holism,ほりずむ
polysulphone,ぽりするほん
polysulfone,ぽりするほん
polycentrism,ぽりせんとりずむ
horizon (ger: Horizont),ほりぞんと
plastic container (e.g. gas can, water can or similar) (和製: poly-tank),ぽりたんく
polythiophene derivative,ぽりちおふぇんゆうどうたい
porridge,ぽりっじ
polish remover,ぽりっしゅりむーばー
holiday,ほりでい
political,ぽりてぃかる
political apathy,ぽりてぃかるあぱしー
political correctness,ぽりてぃかるこれくとねす
political fiction,ぽりてぃかるふぃくしょん
politician,ぽりてぃしゃん
politics,ぽりてぃっくす
holiday,ほりでー
polytetrafluoroethylene,ぽりてとらふるおろえちれん
polytop method,ぽりとーぷほう
polynucleotide,ぽりぬくれおちど
Polynesia,ぽりねしあ
pocket gopher,ほりねずみ
polynosic,ぽりのじっく
polyethylene bucket,ぽりばけつ
polyethylene bathtub,ぽりばす
Bolivia,ぼりびあ
polyvinyl,ぽりびにる
polyvinyl alcohol,ぽりびにるあるこーる
polyp,ぽりぷ
polyp,ぽりぷ
polypharmacy,ぽりふぁーましー
polyphenylene oxide,ぽりふぇにれんおきしど
polyphenylene sulfide,ぽりふぇにれんするふぃど
polyphenol,ぽりふぇのーる
polyphony,ぽりふぉにー
polyethylene bag,ぽりぶくろ
polybutadiene,ぽりぶたじえん
polypropylene,ぽりぷろぴれん
polypeptide,ぽりぺぷちど
hollyhock,ほりほっく
polymer,ぽりまー
polymer alloy,ぽりまーあろい
polymyxin,ぽりみきしん
polymeter,ぽりめーたー
polymerase,ぽりめらーぜ
polymerase chain reaction (PCR),ぽりめらーぜれんさはんのうほう
polymorphism,ぽりもるふぃずむ
pollution,ぽりゅーしょん
volume,ぼりゅーむ
any kind of adjustment knob, not necessarily for sound,ぼりゅーむ
end-of-volume label,ぼりゅーむおわりらべる
EOV,ぼりゅーむおわりらべる
volume control,ぼりゅーむこんとろーる
current volume pointer,ぼりゅーむしじし
volume set,ぼりゅーむしゅうごう
volume set,ぼりゅーむせっと
premium market segment (和製: volume zone),ぼりゅーむぞーん
volume discount,ぼりゅーむでぃすかうんと
beginning-of-volume label,ぼりゅーむはじめらべる
volume (header) label,ぼりゅーむはじめらべる
volume header,ぼりゅーむはじめらべる
volume manager,ぼりゅーむまねーじゃ
beginning-of-volume label,ぼりゅーむみだしらべる
volume (header) label,ぼりゅーむみだしらべる
volume header,ぼりゅーむみだしらべる
beginning-of-volume label,ぼりゅーむらべる
volume (header) label,ぼりゅーむらべる
volume header,ぼりゅーむらべる
volume rendering,ぼりゅーむれんだりんぐ
polyphosphoric acid,ぽりりんさん
polylogism,ぽりろぎすむ
porin,ぽりん
Volga (river),ぼるが
polka,ぽるか
Volga (River),ぼるががわ
polka dot,ぽるかどっと
Porsche (German car brand),ぽるしぇ
Bolshevik (rus: Bolsheviki),ぼるしぇヴぃき
Bolshevik (rus: Bolsheviki),ぼるしぇびき
borscht (Eastern European and Russian soup, usu. made with beets) (rus: borshch),ぼるしち
borsch,ぼるしち
holster,ほるすたー
Holstein,ほるすたいん
German cow race,ほるすたいん
Holstein (cattle type),ほるすたいんしゅ
Holstein-Friesian,ほるすたいんしゅ
borzoi,ぼるぞい
holder,ほるだー
Boulder,ぼるだー
low-lying land reclaimed from the sea (dut: polder),ぽるだー
poltergeist,ぽるたーがいすと
portative,ぽるたてぃぶ
voltaic cell,ぼるたでんち
voltaic cell,ぼるたのでんち
voltameter,ぼるためーたー
voltmeter,ぼるためーたー
portamento,ぽるためんと
voltammetry,ぼるたんめとりー
Boltzmann,ぼるつまん
Boltzmann's constant,ぼるつまんていすう
voltage,ぼるていじ
voltage,ぼるてーじ
horde,ほるど
volt,ぼると
bolt,ぼると
volt-ampere,ぼるとあんぺあ
Bordeaux mixture,ぼるどーえき
Portugal,ぽるとがる
Portuguese (language),ぽるとがるご
voltameter,ぼるとめーたー
voltmeter,ぼるとめーたー
Portland cement,ぽるとらんどせめんと
Borneo,ぼるねお
pornography,ぽるの
blue film,ぽるのえいが
pornography,ぽるのぐらふぃー
porn site,ぽるのさいと
porphyrin,ぽるふぃりん
porphyria,ぽるふぃりんしょう
Volvo (Swedish car brand),ぼるぼ
formalin,ほるまりん
formant,ほるまんと
holmium (Ho),ほるみうむ
formaldehyde,ほるむあるでひど
methanal,ほるむあるでひど
hormone (ger: Hormon),ほるもん
hormone replacement therapy,ほるもんほじゅうりょうほう
fried beef or pork giblets,ほるもんやき
hormone therapy,ほるもんりょうほう
horn,ほるん
hornfels (ger: Hornfels),ほるんふぇるす
volley,ぼれー
volley kick,ぼれーきっく
kicking a ball in mid-air (soccer, football) (lit: volley shoot),ぼれーしゅーと
polemic,ぽれみっく
bolero,ぼれろ
polo,ぽろ
profitable,ぼろい
worn-out,ぼろい
crumbling,ぼろい
bologna sausage,ぼろーにゃそーせーじ
hollow back,ほろーばっく
decisive win,ぼろがち
win hands down,ぼろがち
holography,ほろぐらふぃ
holography,ほろぐらふぃー
holographic,ほろぐらふぃっく
hologram,ほろぐらむ
holocaust,ほろこーすと
polo coat,ぽろこーと
topology state element,ぽろじじょうたいようそ
polo shirt,ぽろしゃつ
Holos,ほろす
horoscope,ほろすこーぷ
worn-out,ぼろっちい
crumbling,ぼろっちい
polonium (Po),ぽろにうむ
bittersweet,ほろにがい
slightly bitter,ほろにがい
something that has a strong taste that adults favor,ほろにがい
polonaise,ぽろねーず
worn-out,ぼろぼろ
torn,ぼろぼろ
crumbling,ぼろぼろ
tattered,ぼろぼろ
guinea fowl,ほろほろちょう
decisive defeat,ぼろまけ
lose big,ぼろまけ
bolometer,ぼろめーたー
boron,ぼろん
foyer (lobby, lounge) of theatre, hotel, etc.,ほわいえ
whiting (Merlangius merlangus),ほわいてぃんぐ
white,ほわいと
white,ほわいど
whiteout,ほわいとあうと
white asparagus,ほわいとあすぱらがす
white gasoline,ほわいとかそりん
white petrol,ほわいとかそりん
white-collar,ほわいとからー
dead silence after a joke falls flat (和製: white kick),ほわいときっく
white Christmas,ほわいとくりすます
white gold,ほわいとごーるど
white (business) shirt,ほわいとしゃつ
white space,ほわいとすぺーす
white sauce,ほわいとそーす
white tie,ほわいとたい
white chocolate,ほわいとちょこれーと
White Day (March 14th),ほわいとでい
White Day (March 14th),ほわいとでー
whitening (e.g. of teeth),ほわいとにんぐ
white noise,ほわいとのいず
White House,ほわいとはうす
white backlash,ほわいとばっくらっしゅ
white balance,ほわいとばらんす
White Pages (telephone book),ほわいとぺーじ
white paper,ほわいとぺーぱー
white pepper,ほわいとぺっぱー
whiteboard,ほわいとぼーど
Whitehall,ほわいとほーる
whitebox,ほわいとぼっくす
white meat,ほわいとみーと
white metal,ほわいとめたる
white liquor,ほわいとりかー
Poisson distribution,ぽわっそんぶんぷ
poele,ぽわれ
butter roasting,ぽわれ
huangjiu (undistilled Chinese alcohol, made of fermented grains),ほわんちゅー
huangjiu (undistilled Chinese alcohol, made of fermented grains),ほわんちゅう
phon (unit of loudness),ほん
good (fre: bon),ぼん
ponkan orange,ぽんかん
honky-tonk,ほんきーとんく
bongo,ぼんご
piece of junk,ぽんこつ
Hong Kong (China),ほんこん
Hong Kong flu,ほんこんかぜ
short-sleeved dress shirt (和製: Hong Kong shirt),ほんこんしゃつ
Ponzi scheme,ぽんじー
Honduras,ほんじぇらす
Rhododendron metternichii,ほんしゃくなげ
bonjour,ぼんじゅーる
Honduras,ほんじゅらす
Republic of Honduras,ほんじゅらすきょうわこく
juice pressed from a bitter orange (dut: pons),ぽんす
punch (i.e. fruit punch),ぽんす
juice pressed from a bitter orange,ぽんず
ponzu (Japanese sauce made primarily of soy sauce and citrus juice),ぽんず
ponzu (Japanese sauce made primarily of soy sauce and citrus juice),ぽんずしょうゆ
Good evening (fre: bonsoir),ぼんそわーる
Honda,ほんだ
thick spray-on coating for walls,ぼんたいる
baggy pants, worn by construction workers and juvenile delinquents,ぼんたん
punch,ぽんち
cartoon,ぽんちえ
caricature,ぽんちえ
poncho,ぽんちょ
pontoon,ぽんつーん
bonding,ぼんでぃんぐ
bondage,ぼんでーじ
ponderosa pine (Pinus ponderosa),ぽんでろーさまつ
ponderosa pine (Pinus ponderosa),ぽんでろーさまつ
bond,ぼんど
pound,ぽんど
bond paper,ぼんどし
bonnet,ぼんねっと
hood,ぼんねっと
bus with front engine,ぼんねっとばす
cab-behind-engine bus,ぼんねっとばす
bombazine,ぼんばじーん
Indian silk-cotton tree (Bombax ceiba),ぼんばっくす
tout,ぽんびき
swindler,ぽんびき
con-man,ぽんびき
pimp,ぽんびき
tout,ぽんぴき
swindler,ぽんぴき
con-man,ぽんぴき
pimp,ぽんぴき
pump,ぽんぷ
reversible pump-turbine,ぽんぷすいしゃ
homburg,ほんぶるぐ
compressed gas cylinder (ger: Bombe),ぼんべ
Bombay blood,ぼんべいぶらっど
bon voyage,ぼんぼわいやーじゅ
bonbon,ぼんぼん
pompon,ぽんぽん
pompons,ぽんぽん
bobbles,ぽんぽん
pompon dahlia,ぽんぽんだりあ
willow gudgeon (species of fish, Gnathopogon caerulescens),ほんもろこ
boneless ham,ぼんれすはむ
marker,まーか
marker,まーかー
marker type,まーかしゅ
marker size scale factor,まーかばいりつ
margarine,まーがりん
polymarker,まーかれつ
polymarker bundle table,まーかれつたばひょう
marguerite (Chrysanthemum frutescens),まーがれっと
Japanese women's hairstyle comprised of a long braid tied up in a loop with a ribbon (ca. 1885),まーがれっと
mercantilism,まーかんてぃりずむ
mercantilism,まーかんひりずむ
marquise,まーきーず
Mercury,まーきゅりー
Mercurochrome,まーきゅろ
Mercurochrome,まーきゅろくろーむ
merbromin,まーきゅろくろーむ
Mercurochrome,まーきゅろくろむ
merbromin,まーきゅろくろむ
marking,まーきんぐ
marking paper,まーきんぐぺーぱー
mark,まーく
markup,まーく
Mach (OS kernel),まーく
markup,まーくあっぷ
markup inflation,まーくあっぷいんふれ
markup language,まーくあっぷげんご
markup convention,まーくきそく
marked section,まーくくかん
marked section start,まーくくかんかいし
marked section end,まーくくかんしゅうりょう
marked section declaration,まーくくかんせんげん
effective status of a marked section,まーくくかんのゆうこうじょうたい
markup minimization feature,まーくさいしょうかきこう
mark sheet,まーくしーと
markup declaration,まーくせんげん
mark up,まーくづけ
markup-scan-in characters,まーくにんちかいしもじ
markup-scan-out characters,まーくにんちしゅうりょうもじ
markup-scan-suppress characters,まーくにんちよくしもじ
markup character,まーくもじ
mark scanning,まーくよみとり
optical mark reading,まーくよみとり
mark reader,まーくよみとりそうち
mark reader,まーくりーだー
market,まーけっと
market awareness,まーけっとあうぇあねす
market analysis,まーけっとあなりしす
incorporating the needs of the market into a product (和製: market in),まーけっといん
market garden,まーけっとがーでん
market share,まーけっとしぇあ
market segmentation,まーけっとせぐめんてーしょん
market basket (method),まーけっとばすけっと
market price,まーけっとぷらいす
marketplace,まーけっとぷれいす
market mechanism,まーけっとめかにずむ
market leader,まーけっとりーだー
market research,まーけっとりさーち
marketing,まーけてぃんぐ
marketing campaign,まーけてぃんぐきゃんぺーん
marketing cost,まーけてぃんぐこすと
marketing communication,まーけてぃんぐこみゅにけーしょん
marketing tactic,まーけてぃんぐさくりゃく
Marketing Information System,まーけてぃんぐじょうほうしすてむ
MIS,まーけてぃんぐじょうほうしすてむ
marketing strategy,まーけてぃんぐせんりゃく
marketing map,まーけてぃんぐまっぷ
marketing management,まーけてぃんぐまねじめんと
marketing research,まーけてぃんぐりさーち
Japanese jack mackerel,まあじ
Japanese horse mackerel (Trachurus japonicus),まあじ
merge,まーじ
marginal,まーじなる
marginal cost,まーじなるこすと
marginal sports,まーじなるすぽーつ
marginal man,まーじなるまん
marshaller,まーしゃらー
martial arts,まーしゃるあーつ
the Marshall Islands,まーしゃるしょとう
Marshallian k (ratio of monetary base and nominal GNP),まーしゃるのけー
Marshall Plan,まーしゃるぷらん
mah-jongg,まーじゃん
mahjong,まーじゃん
mahjong player,まーじゃんうち
marjoram,まーじょらむ
margin,まーじん
margin transaction,まーじんとりひき
Mars,まーす
Maastricht Treaty (1992),まーすとりひとじょうやく
Merced,まーせっど
merzonin,まーぞにん
march,まーち
March,まーち
merchandiser,まーちゃんだいざー
merchandising,まーちゃんだいじんぐ
merchandising right,まーちゃんだいじんぐらいつ
merchant,まーちゃんと
merchant banker,まーちゃんとばんかー
merchant bank,まーちゃんとばんく
marching band,まーちんぐばんど
martini,まーてぃーに
martini,まーてぃに
mart,まーと
Murphy's Law (Whatever can go wrong,まーふぃーのほうそく
marble,まーぶる
Sichuan style bean curd,まーぼーどうふ
Sichuan style bean curd,まーぼーどーふ
Marmite (food paste made from yeast extract),まーまいと
marmalade,まーまれーど
mermaid,まーめいど
mermaid,まーめーど
marmoset (esp. the common marmoset, Callithrix (Callithrix) jacchus),まーもせっと
marmot,まーもっと
maar (broad, shallow volcanic crater) (ger: Maar),まーる
marc (brandy distilled from pomace wine),まーる
marl (unconsolidated lime-rich rock),まーる
Marburg virus,まーるぶるぐういるす
Marburg school (of philosophy),まーるぶるくがくは
Marburg disease,まーるぶるぐびょう
Marburg hemorrhagic fever,まーるぶるぐびょう
green monkey disease,まーるぶるぐびょう
my,まい
one's own,まい
personal,まい
privately owned,まい
Maiasaura (genus of large duck-billed dinosaurs),まいあさうら
Miami,まいあみ
my way,まいうぇい
mySAP.com,まいえすえーぴーどっとこむ
Japanese common squid,まいか
Pacific flying squid (Todarodes pacificus),まいか
golden cuttlefish (Sepia esculenta),まいか
Japanese spineless cuttlefish (Sepiella japonica),まいか
mica,まいか
privately owned car (和製: my car),まいかー
mica condenser,まいかこんでんさー
mike,まいく
mic,まいく
microphone,まいく
microphone noise,まいくのいず
migration,まいぐれーしょん
migrate,まいぐれーと
micro,まいくろ
micro-,まいくろ
10^-6,まいくろ
micro-architecture,まいくろあーきてくちゃ
microanalyzer,まいくろあならいざ
microanalyzer,まいくろあならいざー
micro-ampere meter,まいくろあんぺあけい
microwave,まいくろうぇーぶ
microwave,まいくろうえーぶ
microelectronics,まいくろえれくとろにくす
ME,まいくろえれくとろにくす
microcard,まいくろかーど
microkernel,まいくろかーねる
microcapsule,まいくろかぷせる
microcurie,まいくろきゅーりー
microcurie,まいくろきゅりー
microgravity,まいくろぐらびてぃー
microgramme,まいくろぐらむ
microphone location,まいくろけ
microcode,まいくろこーど
microcopy,まいくろこぴー
Microcom,まいくろこむ
microcomputer,まいくろこんぴゅーた
microcomputer,まいくろこんぴゅーたー
microsurgery,まいくろさーじぇりー
microsatellite,まいくろさてらいと
micro Sievert,まいくろしーべると
micro-systems,まいくろしすてむず
microthesaurus,まいくろしそーらす
microscope,まいくろすこーぷ
microscopic,まいくろすこぴっく
microstate,まいくろすてーと
microsecond,まいくろせかんど
Microsoft,まいくろそふと
Microsoft Product Activation,まいくろそふとぷろだくとあくてぃべーしょん
Microsoft Points,まいくろそふとぽいんと
Microsoft Product Activation,まいくろそふとらいせんすにんしょう
microchip,まいくろちっぷ
Micro Channel,まいくろちゃねる
microchannel architecture,まいくろちゃねるあーきてくちゃ
microtome,まいくろとーむ
Micro Dry,まいくろどらい
microdrive,まいくろどらいぶ
microwave,まいくろは
microburst,まいくろばーすと
microwave heating,まいくろはかねつ
microwave tube,まいくろはかん
microbus,まいくろばす
microwave landing system,まいくろはちゃくりくそうち
MLS,まいくろはちゃくりくそうち
micro heat pipe,まいくろひーとぱいぷ
microsecond,まいくろびょう
microfibre,まいくろふぁいばー
microfiber,まいくろふぁいばー
microfarad,まいくろふぁらど
microfiche,まいくろふぃっしゅ
microfilm,まいくろふぃるむ
microphone,まいくろふぉん
microbrewery,まいくろぶりゅわりー
microprogramming,まいくろぷろぐらみんぐ
microprogram,まいくろぷろぐらむ
microprogramme,まいくろぷろぐらむ
microprocessor,まいくろぷろせっさ
microprocessor,まいくろぷろせっさー
MPU,まいくろぷろせっさー
micro floppy,まいくろふろっぴー
microfloppy disk,まいくろふろっぴぃでぃすく
microfloppy disk,まいくろふろっぴーでぃすく
microbody,まいくろぼでぃー
microvolt,まいくろぼると
microphone,まいくろほん
micromicro,まいくろまいくろ
micromouse,まいくろまうす
micromachine,まいくろましん
microinstruction,まいくろめいれい
micrometer,まいくろめーたー
micrometer,まいくろめーとる
micromedia,まいくろめでぃあ
microlight,まいくろらいと
microreader,まいくろりーだー
Micron,まいくろん
Michelson-Morley experiment (1887),まいけるそんもーりーのじっけん
mycotoxin,まいこときしん
mycobacteria,まいこばくてりあ
mycoplasma,まいこぷらすま
mycoplasma,まいこぷらずま
mycoplasma pneumonia,まいこぷらすまはいえん
mycoplasma pneumonia,まいこぷらずまはいえん
microcomputer,まいこん
personal computer,まいこん
home computer,まいこん
micro-controller,まいこん
micro-processor,まいこん
MCU,まいこん
moving (animated) icon,まいこん
master (ger: Meister),まいすたー
Meistersinger,まいすたーじんがー
Meissen porcelain,まいせんじき
Anglo-Mysore Wars,まいそーるせんそう
mai tai (cocktail) (tah: maita'i),まいたい
My Device,まいでばいす
My TV,まいてれび
Mytalk,まいとーく
My Documents,まいどきゅめんと
meitnerium (Mt),まいとねりうむ
mitomycin,まいとまいしん
minor,まいなー
minor change,まいなーちぇんじ
minor version up,まいなーばーじょんあっぷ
minor version number,まいなーばーじょんばんごう
minor league,まいなーりーぐ
minor level,まいなーれーべる
minus,まいなす
negative ion (和製: minus ion),まいなすいおん
negative image (和製: minus image),まいなすいめーじ
budget reduction (和製: minus ceiling),まいなすしーりんぐ
pessimism,まいなすしこう
negative thinking,まいなすしこう
negative growth,まいなすせいちょう
screwdriver (和製: minus driver, i.e. - driver),まいなすどらいば
flathead screwdriver,まいなすどらいば
slotted screwdriver,まいなすどらいば
screwdriver (和製: minus driver, i.e. - driver),まいなすどらいばー
flathead screwdriver,まいなすどらいばー
slotted screwdriver,まいなすどらいばー
flat-bladed screwdriver,まいなすのねじまわし
negative aspect,まいなすめん
downside,まいなすめん
disadvantage,まいなすめん
minority,まいのりてぃ
minority,まいのりてぃー
minority group,まいのりてぃーぐるーぷ
washable chopsticks carried in a case (to be used in place of disposable chopsticks),まいはし
washable chopsticks carried in a case (to be used in place of disposable chopsticks),まいばし
reuseable shopping bag (和製: may bag),まいばっぐ
My Videos,まいびでお
something that a person is currently obsessed with or fascinated by (和製: my boom),まいぶーむ
my favourite song,まいふぇいばりっとそんぐ
MIFES,まいふぇす
doing things at one's own pace (和製: my pace),まいぺーす
one's (own) house (和製: my home),まいほーむ
one's (own) home,まいほーむ
my mixi,まいみく
refers to the 'friend list' on mixi (or people on that list),まいみく
my mixi,まいみくしぃ
refers to the 'friend list' on mixi (or people on that list),まいみくしぃ
mime,まいむ
miler,まいらー
mile,まいる
short-beaked common dolphin (Delphinus delphis),まいるか
milestone,まいるすとーん
mild,まいるど
mild inflation,まいるどいんふれーしょん
mile race,まいるれーす
mileage,まいれーじ
frequent flier mileage (和製: mileage service),まいれーじさーびす
Japanese pilchard,まいわし
Japanese sardine (Sardinops melanostictus),まいわし
mine,まいん
mind,まいんど
mind-control,まいんどこんとろーる
mouse,まうす
mouse,まうす
mouth,まうす
mouse icon,まうすあいこん
acceleration,まうすいどうかんど
mouthwash,まうすうぉっしゅ
mouse opossum,まうすおぽっさむ
mouse cursor,まうすかーそる
mouse click,まうすくりっく
mouse (device) driver,まうすどらいば
left mouse button,まうすのひだりぼたん
mouse pad,まうすぱっど
mouthpiece,まうすぴーす
mouse pointer,まうすぽいんた
mouth bow,まうすぼー
mouse button,まうすぼたん
mouse unit (unit of toxicity in poisons),まうすゆにっと
Mauritius,まうりちうす
mounting,まうんちんぐ
mounting,まうんてぃんぐ
mountain,まうんてん
mountain gorilla,まうんてんごりら
mountain bicycle,まうんてんばいく
mountain bike,まうんてんばいく
mounting frame,まうんてんふれーむ
mountain music,まうんてんみゅーじっく
mounting rail,まうんてんれーる
mount,まうんと
mound,まうんど
mount(ing) process,まうんとしょり
mount point,まうんとぽいんと
maestro,まえすとろ
focal point of a lens in front of the subject,まえぴん
maotai (variety of distilled Chinese alcohol),まおたいちゅー
maotai (variety of distilled Chinese alcohol),まおたいちゅう
the Maori,まおり
Maori,まおりぞく
Macau,まかう
Macao,まかう
Macau,まかお
Macao,まかお
Pacific oyster (Crassostrea gigas),まがき
striped marlin (Tetrapturus audax),まかじき
magazine,まがじん
magazine rack,まがじんらっく
macadamia,まかだみあ
macadamia nuts,まかだみあなっつ
Macadam,まかだむ
macadam roller,まかだむろーらー
macadamia nut (Macadamia sp.),まかでみあなっつ
mallard (Anas platyrhynchos),まがも
mallard duck,まがも
brown sole (Pleuronectes herzensteini),まがれい
Japanese women's hairstyle comprised of a long braid tied up in a loop with a ribbon (ca. 1885),まがれいと
Japanese women's hairstyle comprised of a long braid tied up in a loop with a ribbon (ca. 1885),まがれーと
macaroni,まかろに
macaroni western,まかろにうえすたん
macaroni penguin (Eudyptes chrysolophus),まかろにぺんぎん
macaron (a French pastry made from egg whites and almond powder),まかろん
macaroon,まかろん
yew plum pine (Podocarpus macrophyllus),まき
magi (gre: magos),まぎ
magus,まぎ
Machiavellism,まきあヴぇりずむ
Machiavellianism,まきあヴぇりずむ
Machiavellism,まきあべりずむ
Machiavellianism,まきあべりずむ
maxi,まきし
maximum,まきしまむ
maximin rule,まきしみんるーる
maxim,まきしむ
meadow pipit (Anthus pratensis),まきばたひばり
titlark,まきばたひばり
Machiavellism,まきゃべりずむ
Machiavellianism,まきゃべりずむ
classification for Japanese verb with the dictionary form ending inmu,まぎょう
ma column or row of the kana syllabary,まぎょう
maquiladora,まきらどーら
mug,まぐ
mug (和製: mug cup),まぐかっぷ
maximum,まくしまむ
maxim,まくしむ
green peafowl (Pavo muticus),まくじゃく
Maxwell's equations (summarizing the classical properties of the electromagnetic field),まくすうぇるのほうていしき
Maxwell's demon,まくすうぇるのまもの
McDonald's,まくど
McDonald's (restaurant),まくどなるど
Magna Carta,まぐなかるた
magnum,まぐなむ
magnitude,まぐにちゅーど
magnesite,まぐねさいと
magnesia,まぐねしあ
magnesium (Mg),まぐねしうむ
magnesium alloy,まぐねしうむごうきん
magnesia,まぐねしや
magnetite,まぐねたいと
magnetic,まぐねちっく
magnetic ink,まぐねちっくいんく
magnetic card,まぐねちっくかーど
electromagnetic loudspeaker,まぐねちっくすぴーかー
magnet,まぐねっと
magnet school (public school offering special instruction in order to attract a more diverse student body),まぐねっとすくーる
magnetic bike,まぐねっとばいく
magnetic exercise bike,まぐねっとばいく
trans: magnet bike,まぐねっとばいく
magnesium (Mg),まぐねてぃっく
magnetron,まぐねとろん
magma,まぐま
magma reservoir,まぐまだまり
macrame,まくらめ
to eat at McDonald's,まくる
macro,まくろ
macro assembler,まくろあせんぶら
macro virus,まくろうぃるす
macro window,まくろうぃんどう
macroengineering,まくろえんじにありんぐ
woman who lies flat during intercourse,まぐろおんな
macro infection type virus,まくろかんせんかたういるす
macro-function,まくろきのう
macro-economics,まくろけいざいがく
macro language,まくろげんご
macrocosm (ger: Makrokosmos),まくろこすもす
macro expression,まくろしき
macrothesaurus,まくろしそーらす
macrogenerator,まくろしょりけい
macroprocessor,まくろしょりけい
macrogenerator,まくろしょりぷろぐらむ
macroprocessor,まくろしょりぷろぐらむ
macroscopic,まくろすこぴっく
macrogenerator,まくろせいせいけい
macroprocessor,まくろせいせいけい
macrogenerator,まくろせいせいぷろぐらむ
macroprocessor,まくろせいせいぷろぐらむ
macro definition,まくろていぎ
macro data,まくろでーた
macro expansion,まくろのてんかい
macroburst,まくろばーすと
macrobiotics (fre: macrobiotique),まくろびおてぃっく
macrophage,まくろふぁーじ
macrophage migration inhibitory factor,まくろふぁーじゆうそうそしいんし
MMIF,まくろふぁーじゆうそうそしいんし
macro project,まくろぷろじぇくと
macro-processor,まくろぷろせっさ
macro definition,まくろほんたい
macro prototype,まくろほんたい
macro instruction,まくろめいれい
macro model,まくろもでる
macro call,まくろよびだし
macro lens,まくろれんず
macron (diacritical mark),まくろん
maguey,まげい
Macedonia,まけどにあ
marbled sole (Pleuronectes yokohamae),まこがれい
Manchurian wild rice (Zizania latifolia),まこも
macaron (a French pastry made from egg whites and almond powder),まころん
macaroon,まころん
short-finned pilot whale (Globicephala macrorhynchus),まごんどう
Japanese kelp (Laminaria japonica),まこんぶ
mother,まざー
motherboard,まざー
Mother (Superior),まざー
title of a senior nun,まざー
mother-in-law,まざーいんろー
mother country,まざーかんとりー
Mother Goose,まざーぐーす
Oedipus complex (和製: mother complex),まざーこん
sexual attraction to one's mother,まざーこん
Oedipus complex (和製: mother complex),まざーこんぷれっくす
sexual attraction to one's mother,まざーこんぷれっくす
massage,まさーじゅ
Mothers,まざーず
Mother's Day,まざーずでー
mother tape,まざーてーぷ
mother fucker,まざーふぁっかー
motherboard,まざーぼーど
motherland,まざーらんど
mothering,まざーりんぐ
Masai (people),まさい
Maasai,まさい
Masai (people),まさいぞく
Maasai,まさいぞく
Japanese spindletree (Euonymus japonicus),まさき
Oedipus complex (和製: mother complex),まざこん
sexual attraction to one's mother,まざこん
Massachusetts,まさちゅーせっつ
chub mackerel (Scomber japonicus),まさば
Maserati,まさらてぃー
mothering,まざりんぐ
better,まし
less objectionable,まし
preferable,まし
more,まし
increase,まし
extra,まし
increase,まし
growth,まし
serious (not capricious or flirtatious),まじ
machine,ましーん
machine gun,ましーんがん
machine language,ましーんらんげーじ
to be amused,まじうける
to find something interesting,まじうける
to be amused,まじうける
to find something interesting,まじうける
magenta,まじぇんた
magical,まじかる
being truly angry,まじぎれ
being truly angry,まじぎれ
magical,まじこう
game copier,まじこん
backup device,まじこん
magician,まじしゃん
magic,まじっく
magic marker,まじっく
magic eye (in radio receivers, etc.),まじっくあい
magic ink marker,まじっくいんき
magic glass,まじっくぐらす
Velcro (from Magic Tape - Japanese name for Velcro),まじっくてーぷ
magic number,まじっくなんばー
magic hand,まじっくはんど
manipulator,まじっくはんど
magic marker,まじっくまーかー
magic mirror,まじっくみらー
magic realism,まじっくりありずむ
magical realism,まじっくりありずむ
machining center,ましにんぐせんたー
marzipan,まじぱん
(unintentionally comedic) stupidity,まじぼけ
marshmallow,ましまろ
marshmallow,ましゅまろ
majolica (type of Italian pottery),まじょりか
majority,まじょりてぃー
majolica,まじりか
serious reply (response) (e.g. in 2ch threads),まじれす
machine,ましん
machine-dependent,ましんいぞんがた
machine-readable,ましんがよみとりかのう
machine gun,ましんがん
machine language,ましんご
machine code,ましんこーど
machine cycle,ましんさいくる
machine-independent,ましんどくりつがた
machine-vision,ましんびじょん
machine head,ましんへっど
machine oil,ましんゆ
machine language,ましんらんげーじ
machine-room,ましんるーむ
mass,ます
masturbation,ます
trout,ます
sea trout,ます
mass communication,ます・こみゅにけーしょん
the media,ます・こみゅにけーしょん
mass collaboration, e.g. Wikipedia,ます・こみゅにけーしょん
masker,ますか
muscat (grape),ますかっと
muscatel,ますかっと
mascara,ますから
mass culture,ますかるちゃー
mascarpone,ますかるぽーね
masculine,ますきゅりん
masking,ますきんぐ
mask,ますく
blowing air into a dive mask through the nose to clear out the water (和製: mask clear),ますくくりあ
unequal pressure between the mask air space and the vascular pressure within the blood vessels of the face,ますくすくいず
Non-Maskable Interrupt,ますくふかのうわりこみ
NMI,ますくふかのうわりこみ
blowing air into a dive mask through the nose to clear out the water or equalize the pressure (和製: mask blow),ますくぶろー
musk melon,ますくめろん
cantaloup,ますくめろん
