Sakhalin,さはりん
double room (e.g. at a hotel),だぶるるーむ
double role,だぶるろーる
doubleword,だぶるわーど
tablet,たぶれっと
doublet (14th-17th century men's jacket),だぶれっと
tablet personal computer (tablet PC),たぶれっとぴーしー
tablet pen,たぶれっとぺん
tablet button,たぶれっとぼたん
tabloid,たぶろいど
tableau,たぶろー
tabun (nerve gas),たぶん
tappet clearance,たぺくり
tapestry,たぺすとりー
tappet,たぺっと
to jabber,だべる
to chatter,だべる
to chat with,だべる
dowel,だぼ
double bogie,だぼ
sound like tapping a soft belly,たぽたぽ
dung beetle,たまおしこがね
giant grouper (Epinephelus lanceolatus),たまかい
brindle bass,たまかい
bumblebee grouper,たまかい
Queensland grouper,たまかい
balls,たまきん
testicles,たまきん
death cap (species of poisonous mushroom, Amanita phalloides),たまごてんぐたけ
death cup,たまごてんぐたけ
painted snipe (Rostratula benghalensis),たましぎ
damask,だますく
gall midge (any insect of family Cecidomyiidae),たまばえ
gall wasp (any insect of family Cynipidae),たまばち
tamarin,たまりん
tamarind (spa: tamarindo, por: tamarindo),たまりんど
dummy,だみー
dummy corporation,だみーがいしゃ
front company,だみーがいしゃ
shell corporation,だみーがいしゃ
dummy parameter,だみーぱらめた
dummy record,だみーれこーど
Tamiflu (brand-name flu medication),たみふる
Tamil (people),たみる
Tamil (language),たみるご
Tamil (people),たみるぞく
dam,だむ
dumb,だむ
reservoir,だむこ
lake formed by a dam,だむこ
dam-site,だむさいと
anise magnolia,たむしば
magnolia salicifolia,たむしば
dumb terminal,だむたーみなる
tam-tam,たむたむ
tom-tom,たむたむ
dum-dum ammunition,だむだむだん
dumb terminal,だむたんまつ
dumb hub,だむはぶ
dam discharge (e.g. water),だむほうりゅう
discharge water from a dam,だむほうりゅうすい
(at the) same level,ため
peer,ため
useless,だめ
no good,だめ
hopeless,だめ
damage,だめーじ
damage control,だめーじこんとろーる
pre-ripped jeans (和製: damage jeans),だめーじじーんず
making doubly sure,だめおし
insurance runs (baseball),だめおし
casual talk,ためぐち
frank, unreserved speech,ためぐち
casual language,ためご
judging someone (negatively) and urging them to improve,だめだし
finding fault (in somebody's work),だめだし
giving something a try because one has nothing to lose,だめでもともと
Shut up!,だめる
Be quiet!,だめる
Shut up!,だめる
Be quiet!,だめる
good-for-nothing man,だめんず
no-hoper,だめんず
Japanese ash,たも
fraxinus mandshurica var. japonica,たも
tamoxifen,たもきしふぇん
day-one,だよね
Japanese angelica tree (Aralia elata),たら
dollar (symbol),だらー
lathe,だらい
the Dalai Lama,だらいらま
drachma,だらくま
tarragon,たらごん
dalasi,だらし
Dallas (Texas),だらす
Cod Wars (conflicts between the United Kingdom and Iceland regarding fishing rights (1958, 1971, 1975)),たらせんそう
gangway (dut: trap),たらっぷ
ramp,たらっぷ
devil's walking stick (tree) (Aralia elata),たらのき
Japanese angelica tree,たらのき
devil's walking stick (tree) (Aralia elata),たらのき
Japanese angelica tree,たらのき
red king crab (Paralithodes camtschaticus),たらばがに
dram,だらむ
drachm,だらむ
what if (as in What If stories),たられば
tarantula,たらんちゅら
tarantella,たらんてら
talent,たらんと
d'Alembert's paradox,だらんべーるのぱらどっくす
dahlia (Dahlia pinnata),だりあ
tagliatelle,たりあてっれ
tally,たりー
thallium (Tl),たりうむ
classical form of na-adjective inflection formed by contraction of the particleto with the classical verbari (aru),たりかつよう
talisman,たりすまん
talisman,たりずまん
Taliban (Afghani fundamentalist Muslim group),たりばん
Taleban,たりばん
tariff,たりふ
tariff escalation,たりふえすかれーしょん
dahlia (Dahlia pinnata),だりや
dull,だる
talcum powder,たるかむぱうだー
talcum,たるかん
talc,たるく
dull game,だるげーむ
dulcimer,だるしまー
tartar,たるたる
tartare,たるたる
steak tartare (和製: tartar steak),たるたるすてーき
tartar sauce (tartare),たるたるそーす
tart (fre: tarte),たると
roll of sponge cake with sweetened beans (dut: taart),たると
tartelette,たるとれっと
DARPA,だるぱ
Talmud,たるむーど
Dalmatian (dog breed),だるめしあん
taleggio,たれっじょ
turret lathe,たれっとせんばん
star (esp. television) (from talent),たれんと
personality,たれんと
talent-money,たれんとまねー
taro,たろいも
tallow,たろう
taro,たろう
tarot,たろっと
tarot,たろっとかーど
tarot card,たろっとかーど
tower,たわー
tower configuration,たわーがた
tower crane,たわーくれーん
Tower Records (company),たわーれこーど
Tower Dream (game),たわどり
Elaeagnus multiflora var. hortensis (variety of goumi),たわらぐみ
Tower Records (company),たわれこ
tongue,たん
tanker,たんかー
dungaree,だんがりー
tonguing,たんぎんぐ
tank,たんく
dunk,だんく
tank car,たんくしゃ
tank truck,たんくしゃ
dunk shot,だんくしょっと
tungsten (W),たんぐすてん
tungsten steel,たんぐすてんこう
tungsten lamp,たんぐすてんでんきゅう
tungsten bulb,たんぐすてんでんきゅう
tank top,たんくとっぷ
tank breathing,たんくぶりーじんぐ
tangram,たんぐらむ
tanker (和製: tank lorry),たんくろーり
tanker truck,たんくろーり
tanker (和製: tank lorry),たんくろーりー
tanker truck,たんくろーりー
tangent,たんげんと
tango,たんご
dance form (from Argentina),たんご
pillbug,だんごむし
pill bug,だんごむし
dancer,だんさー
Tanzania,たんざにあ
danceable,だんさぶる
tangent,たんじぇんと
stewed tongue,たんしちゅー
tangible,たんじぶる
dungeon,だんじょん
dancing,だんしんぐ
dance,だんす
dance party,だんす・ぱーてぃー
dance club,だんすくらぶ
dance therapy,だんすせらぴー
dance party,だんすぱーてぃー
dance hall,だんすほーる
to make a done deal,だんする
tender,たんだー
tantalum,たんたらむ
tantalum (Ta) (ger: Tantal),たんたる
Arundo donax,だんちく
red-crowned crane,たんちょう
Japanese crane (Grus japonensis),たんちょう
red-crowned crane,たんちょうづる
Japanese crane (Grus japonensis),たんちょうづる
dandy,だんでぃ
fop,だんでぃ
esthete,だんでぃ
dandy,だんでぃー
fop,だんでぃー
esthete,だんでぃー
Dundee,だんでぃー
D'Indy,だんでぃー
dandyism,だんでぃずむ
dandy,だんでぃまん
fop,だんでぃまん
esthete,だんでぃまん
metrosexual,だんでぃまん
dandelion,だんでぃらいおん
tandem,たんでむ
(riding with a) passenger on a motorcycle,たんでむ
tandem bicycle sprint,たんでむすぷりんと
dandelion,だんでらいおん
tandoori chicken,たんどーりちきん
tandoor,たんどーる
the best,だんとつ
far and away the best,だんとつ
decisive lead,だんとつ
Tandoori chicken,たんどりーちきん
Tandoori chicken,たんどりちきん
tanner (person who tans animal hides),たんなー
tannin,たんにん
damper,だんぱ
dance party,だんぱ
damper,だんぱー
protein,たんぱくしつ
protease,たんぱくしつぶんかいこうそ
protein-digesting enzyme,たんぱくしょうかこうそ
protein-digesting enzyme,たんぱくしょうかこうそ
anabolic steroid,たんぱくどうかすてろいど
tambourine,たんばりん
dumping,だんぴんぐ
anti-dumping duties,だんぴんぐかんぜい
damping resistor,だんぴんぐていこう
dump,だんぷ
tambour,たんぶーる
dump truck (和製: dump car),だんぷかー
dump truck,だんぷとらっく
tumble dryer,たんぶらー
tumbler,たんぶらー
tumbler dryer,たんぶらー
drinking cup,たんぶらー
tumble dryer,たんぷらー
tumbler,たんぷらー
tumbler dryer,たんぷらー
drinking cup,たんぷらー
tumbler switch,たんぶらーすいっち
tambourin,たんぶらん
dump list,だんぷりすと
tumbling,たんぶりんぐ
dumpling,だんぷりんぐ
dumbbell,だんべる
pad,たんぽ
wad,たんぽ
wadding,たんぽ
cardboard,だんぼーる
dandelion (esp. species Taraxacum platycarpum),たんぽぽ
tampon (ger: Tampon),たんぽん
Dhammapada,だんまぱだ
ti,ち
si,ち
7th note in the tonic solfa representation of the diatonic scale,ち
cheer,ちあ
cheerleader (和製: cheer girl),ちあがーる
thiazine (ger: Thiazin),ちあじん
thiazole,ちあぞーる
cheerleading (和製: cheer dance),ちあだんす
cyanosis (ger: Zyanose),ちあのーぜ
thiabendazole,ちあべんだぞーる
cheer horn,ちあほーん
thiamine,ちあみん
thiamin,ちあみん
cheerleader,ちありーだー
cheerleading,ちありーでぃんぐ
cheek,ちーく
teak,ちーく
cheek-to-cheek dancing,ちーくだんす
cheese,ちーず
say cheese! (when taking photographs),ちーず
cheese cake,ちーずけーき
cheese sandwich,ちーずさんど
cheese toast,ちーずとーすと
cheeseburger,ちーずばーがー
cheese fondue,ちーずふぉんでゅー
teasel,ちーぜる
cheetah,ちーた
cheetah,ちーたー
chief,ちーふ
cheap,ちーぷ
chief umpire,ちーふあんぱいあ
chief executive,ちーふえぐぜくてぃぶ
chief officer,ちーふおふぃさー
cheap government,ちーぷがばめんと
cheap chic,ちーぷしっく
chief second,ちーふせこんど
chief mate,ちーふめーと
cheap labour (labor),ちーぷれーばー
team,ちーむ
team game,ちーむげーむ
team jumper,ちーむじゃんぱー
team teaching,ちーむてぃーちんぐ
team play,ちーむぷれい
team play,ちーむぷれー
teammate,ちーむめーと
team leader,ちーむりーだー
teamwork,ちーむわーく
ding (sound of a bell),ちーん
bing,ちーん
to cook (or heat) in a microwave oven (from the 'ching' timer bell),ちーん
sneeze (into a tissue, used with children),ちーん
shoot,ちぇ
shit,ちぇ
dang,ちぇ
crap,ちぇ
rats,ちぇ
dammit,ちぇ
chair,ちぇあ
chairperson,ちぇあぱーすん
chairperson,ちぇあぱーそん
chairman,ちぇあまん
chaser,ちぇいさー
chain,ちぇいん
chaser,ちぇーさー
chasing,ちぇーしんぐ
chain,ちぇーん
chain printer,ちぇーんいんじそうち
chainstitch,ちぇーんすてっち
chain store,ちぇーんすとあ
chain smoker,ちぇーんすもーかー
chainsaw,ちぇーんそー
chain store,ちぇーんてん
chain printer,ちぇーんぷりんた
chain block,ちぇーんぶろっく
chain mail,ちぇーんめーる
chain letter,ちぇーんれたー
small instant camera,ちぇき
to take a picture with acheki camera,ちぇきる
Czech Republic,ちぇこ
Czechoslovakia,ちぇこすろばきあ
Cheshire cheese,ちぇしゃーちーず
chess,ちぇす
chesterfield,ちぇすたーふぃーるど
chest,ちぇすと
chest pass,ちぇすとぱす
chessboard,ちぇすばん
chessboard,ちぇすぼーど
chess match,ちぇすまっち
cheddar,ちぇだー
cheddar cheese,ちぇだーちーず
Chechin,ちぇちぇん
Chechnia,ちぇちぇん
Chechnya,ちぇちぇん
Chechenia,ちぇちぇん
shoot,ちぇっ
shit,ちぇっ
dang,ちぇっ
crap,ちぇっ
rats,ちぇっ
dammit,ちぇっ
checker,ちぇっか
checker,ちぇっかー
checkers,ちぇっかーず
checkered flag,ちぇっかーふらっぐ
checker-player,ちぇっかーぷれいやー
checkerboard,ちぇっかーぼーど
check,ちぇっく
plaid,ちぇっく
check-out,ちぇっくあうと
check-out time,ちぇっくあうとたいむ
checkout time,ちぇっくあうとたいむ
checks and balances,ちぇっくあんどばらんす
check-in,ちぇっくいん
check-in counter,ちぇっくいんかうんたー
checkoff,ちぇっくおふ
check guarantee card,ちぇっくぎゃらんてぃーかーど
checksum,ちぇっくさむ
CHKDSK,ちぇっくでぃすく
checkvalve,ちぇっくばるぶ
checked build,ちぇっくびるど
checkbook,ちぇっくぶっく
check price,ちぇっくぷらいす
check protector,ちぇっくぷろてくたー
check point,ちぇっくぽいんと
checkbox,ちぇっくぼっくす
check mark,ちぇっくまーく
tick,ちぇっくまーく
checkmate,ちぇっくめいと
checkmate,ちぇっくめーと
checkwriter,ちぇっくらいたー
checklist,ちぇっくりすと
chaebol,ちぇぼる
cherub,ちぇらぶ
cherry,ちぇりー
cherry tomato,ちぇりーとまと
cherry,ちぇりーぴんく
male virgin (和製: cherry boy),ちぇりーぼーい
cheerio,ちぇりお
cellist,ちぇりすと
Chernobyl,ちぇるのぶいり
celesta,ちぇれすた
Cherenkov effect,ちぇれんこふこうか
Cherenkov radiation,ちぇれんこふほうしゃ
Cerenkov radiation,ちぇれんこふほうしゃ
cello,ちぇろ
violoncello,ちぇろ
Cherokee,ちぇろきー
change,ちぇんじ
pitch that comes toward the batter at a speed slower than expected (baseball) (和製: change up),ちぇんじあっぷ
changeover,ちぇんじおーばー
change of pace,ちぇんじおぶぺーす
changepocket,ちぇんじぽけっと
changer,ちぇんじゃー
gear shift (和製: change lever),ちぇんじればー
gear stick,ちぇんじればー
chamber,ちぇんばー
chamber organ,ちぇんばーおるがん
chamber music,ちぇんばーみゅーじっく
cembalo,ちぇんばろ
harpsichord,ちぇんばろ
thiocyanic acid,ちおしあんさん
thiophene,ちおふぇん
thioben,ちおべん
thiobencarb,ちおべんかるぶ
thiobenzamide,ちおべんずあみど
thiopental,ちおぺんたーる
thiosulphuric acid,ちおりゅうさん
thiosulfuric acid,ちおりゅうさん
sodium thiosulfate,ちおりゅうさんなとりうむ
thionic acid,ちおんさん
Culex pipiens molestus (subspecies of house mosquito),ちかいえか
flickering,ちかちか
flashing on and off (e.g. Christmas lights),ちかちか
prickling (pain),ちかちか
cogon grass (Imperata cylindrica),ちがや
to get scared,ちきる
to chicken out,ちきる
chicken,ちきん
chicken cutlet,ちきんかつ
chicken cutlet,ちきんかつれつ
chicken soup,ちきんすーぷ
chicken nugget,ちきんなげっと
chicken flower,ちきんふらわー
chicken with rice,ちきんらいす
thixotrophy (property of certain gels to liquefy when subjected to vibratory forces),ちくそせい
thixomolding (plastic and semiconductor industries),ちくそもーるど
ticktack,ちくたく
type of prickling pain,ちくちく
prick,ちくちく
prickle,ちくちく
to prickle,ちくちくいたむ
type of prickling pain,ちくり
tale telling,ちくり
Tigris-Euphrates (river system),ちぐりすゆーふらてす
to tattle,ちくる
to inform a superior of someone's actions,ちくる
cycle (e.g. of songs) (ger: Zyklus),ちくるす
sodium cyclohexylsulfamate,ちくろ
Korean stew,ちげ
ticket,ちけっと
northern hobby (species of falcon, Falco subbuteo),ちごはやぶさ
chicory,ちこり
chicory,ちこりー
buchimgae (Korean pancake) (kor: jijimi),ちじみ
Thorea okadae (species of red alga),ちすじのり
zither,ちたー
crimson sea bream (Evynnis japonica),ちだい
Astilbe microphylla (species of astilbe),ちだけさし
titanium (Ti) (ger: Titan),ちたにうむ
titanium (Ti) (ger: Titan),ちたん
titanium alloy,ちたんごうきん
barium titanate (BaTiO3),ちたんさんばりうむ
titanium porcelain,ちたんじき
titanite,ちたんせき
ilmenite,ちたんてっこう
titanium white,ちたんはく
Metaplexis japonica,ちちくさ
tawny milkcap mushroom (Lactarius volemus),ちちたけ
dusky tripletooth goby (Tridentiger obscurus),ちちぶ
buchimgae (Korean pancake) (kor: jijimi),ちぢみ
Mediterranean fruit fly (Ceratitis capitata),ちちゅうかいみばえ
medfly,ちちゅうかいみばえ
ticker,ちっかー
baggage check,ちっき
check one's baggage,ちっき
book one's luggage,ちっき
cosmetic,ちっく
stick pomade,ちっく
chick,ちっく
tic,ちっく
#NAME?,ちっく
tic,ちっくしょう
gratuity,ちっぷ
tip,ちっぷ
chip,ちっぷ
to chip in,ちっぷいん
chip shot (golf),ちっぷしょっと
chip set,ちっぷせっと
chiptune (music synthesized in realtime; e.g. in video games),ちっぷちゅーん
SMT resistor,ちっぷていこう
chip board,ちっぷぼーど
type of yellow carrot grown in Okinawa,ちでーくに
cytochrome (ger: Cytochrom),ちとくろむ
plover,ちどり
black porgy (Acanthopagrus schlegeli),ちぬ
black porgy (Acanthopagrus schlegeli),ちぬだい
head of the penis,ちぱたま
small child,ちび
pipsqueak,ちび
small fry,ちび
small, cute versions of manga, anime, etc. characters, typically with oversized heads,ちび
short person,ちび
midget,ちび
dwarf,ちび
small animal,ちび
runt,ちび
worn down (pencil, etc.),ちび
typhoid fever (ger: Typhus, dut:),ちふす
typhus,ちふす
typhoid fever (ger: Typhus, dut:),ちぶす
typhus,ちぶす
typhoid bacillus,ちふすきん
Tibetan mastiff (dog breed),ちべたんますちふ
Tibet,ちべっと
Tibetan (language),ちべっとご
Tibetan plateau,ちべっとこうげん
Tibetan Buddhist canon,ちべっとだいぞうきょう
Tibetan Buddhism,ちべっとぶっきょう
Tibetan character,ちべっともじ
tipepidine,ちぺぴじん
chipolata,ちぽらーた
Tivoli,ちぼり
zymase (ger: Zymase),ちまーぜ
thymine,ちみん
chimney,ちむにー
thymol,ちもーる
Timor dusky sparrow (Lonchura fuscata, Padda fuscata),ちもーるぶんちょう
timothy (Phleum pratense),ちもしー
timothy grass,ちもしー
charge (electrical),ちゃーじ
charge (i.e. fee),ちゃーじ
charger,ちゃーじゃー
charging,ちゃーじんぐ
charter,ちゃーたー
chartered aircraft (airplane, jet, etc.),ちゃーたーき
charter flight,ちゃーたーびん
church,ちゃーち
chart,ちゃーと
chert,ちゃーと
chart parser,ちゃーとかいせきき
chart file,ちゃーとふぁいる
Chinese-style fried rice,ちゃーはん
chervil,ちゃーびる
CHRP,ちゃーぷ
charming,ちゃーみんぐ
charm,ちゃーむ
most attractive feature of a person (和製: charm point),ちゃーむぽいんと
Charleston,ちゃーるすとん
Charles Babbage,ちゃーるずばべいじ
Tchaikovsky,ちゃいこふすきー
child idol,ちゃいどる
China,ちゃいな
Chinatown,ちゃいなたうん
qipao (和製: china dress),ちゃいなどれす
cheongsam,ちゃいなどれす
mandarin dress,ちゃいなどれす
Chinese,ちゃいにーず
Mandarin collar,ちゃいにーずからー
Chinese collar,ちゃいにーずからー
chive (edible plant with flat leaves, Allium schoenoprasum),ちゃいぶ
chime,ちゃいむ
child,ちゃいるど
child abuse,ちゃいるどあびゅーず
child seat,ちゃいるどしーと
chowder,ちゃうだー
pistol,ちゃか
heat,ちゃか
Chagu Chagu Horse Festival (of Iwate Prefecture),ちゃぐちゃぐうまこ
small wooden horse toy with bells on its neck (made in Iwate prefecture),ちゃぐちゃぐうまこ
Chagu Chagu Horse Festival (of Iwate Prefecture),ちゃぐちゃぐうまこ
small wooden horse toy with bells on its neck (made in Iwate prefecture),ちゃぐちゃぐうまこ
chalk,ちゃこ
charcoal,ちゃこーる
charcoal gray,ちゃこーるぐれー
charcoal filter,ちゃこーるふぃるたー
maidenhair spleenwort (Asplenium trichomanes),ちゃせんしだ
psocid (any insect of order Psocoptera, which includes booklice),ちゃたてむし
chattering,ちゃたりんぐ
key-bounce (in keyboards),ちゃたりんぐ
cha-cha (dance) (spa: cha cha cha),ちゃちゃちゃ
chukka,ちゃっかー
Chakaman (brand-name of rechargeable lighter),ちゃっかまん
chuck (device for holding a workpiece in a lathe or a tool in a drill),ちゃっく
fastener,ちゃっく
zipper,ちゃっく
chucking reamer,ちゃっくりーまー
chat,ちゃっと
chat area,ちゃっとえりあ
chat room,ちゃっとるーむ
chutney (hin: catni),ちゃつね
chop,ちゃっぷ
splash,ちゃっぷん
plop,ちゃっぷん
kerplop,ちゃっぷん
chad,ちゃど
chador,ちゃどる
channelling,ちゃねりんぐ
channeling,ちゃねりんぐ
channel,ちゃねる
channel agility,ちゃねるあじりてぃ
per channel,ちゃねるあたり
channel-to-channel adapter,ちゃねるかんあだぷた
CTCA,ちゃねるかんけつごうそうち
Channel To Channel Adapter,ちゃねるかんけつごうそうち
interchannel isolation,ちゃねるかんぶんり
channel status word,ちゃねるじょうたいご
channel status word,ちゃねるすてーたすわーど
channel definition format,ちゃねるでふぃにしょんふぉーまっと
CPR,ちゃねるぱすさいせつぞく
Channel Path Reconnection,ちゃねるぱすさいせつぞく
channel program,ちゃねるぷろぐらむ
channel protocol machine,ちゃねるぷろとこるきかい
CPM,ちゃねるぷろとこるきかい
chapati (hin: capati),ちゃぱてぃ
chapatti,ちゃぱてぃ
German cockroach (Blattella germanica),ちゃばねごきぶり
Chaparral (missile),ちゃぱらる
wild oat (Avena fatua),ちゃひきぐさ
wild oats,ちゃひきぐさ
chaff,ちゃふ
chub (Leuciscus cephalus),ちゃぶ
chop suey,ちゃぷすい
chapter,ちゃぷた
chapter,ちゃぷたー
low dining (tea) table,ちゃぶだい
flipping a table over in anger,ちゃぶだいがえし
overturning a table in anger,ちゃぶだいがえし
splish-splash,ちゃぷちゃぷ
glug-glug,ちゃぷちゃぷ
chaplain,ちゃぷれん
chapel,ちゃぺる
Cham (people),ちゃむぞく
forgiving a debt,ちゃら
getting even,ちゃら
flashy,ちゃらい
gaudy,ちゃらい
wrapped in cheap flattery,ちゃらい
messing around,ちゃらちゃら
showing off,ちゃらちゃら
to make (the effort to make) oneself look cool,ちゃらつく
charango,ちゃらんご
small lute-like stringed instrument, orig. from Bolivia,ちゃらんご
bicycle,ちゃり
chariot,ちゃりおっと
charity,ちゃりてぃ
charity,ちゃりてい
charity,ちゃりてぃー
charity show,ちゃりてぃーしょー
Csardas (Hungarian dance),ちゃるだっしゅ
Czardas,ちゃるだっしゅ
Chalmers,ちゃるまーす
Mitella stylosa (species of miterwort),ちゃるめるそう
self-challenge,ちゃれんじ
trying hard to do something,ちゃれんじ
challenger,ちゃれんじゃー
chunk,ちゃんく
Chinese (language),ちゃんご
Chinese person,ちゃんころ
Manchu person,ちゃんころ
Chink,ちゃんころ
salted Pacific cod entrails in spicy sauce,ちゃんじゃ
chance,ちゃんす
opportunity,ちゃんす
chandra,ちゃんどら
channel,ちゃんねる
sword fight,ちゃんばら
champion,ちゃんぴおん
championship,ちゃんぴおんしっぷ
pennant,ちゃんぴおんふらっぐ
champion flag,ちゃんぴおんふらっぐ
championship belt,ちゃんぴおんべると
champion,ちゃんぴょん
champ,ちゃんぷ
chanpuru,ちゃんぷるー
champuru,ちゃんぷるー
Okinawan stir-fry dish, usually containing vegetables (especially bitter melon), tofu, meat or fish (poss. from Indonesiancampur meaning mixed),ちゃんぷるー
practice of mixing things normally kept separate (practise),ちゃんぽん
mixture,ちゃんぽん
dish of noodles, seafood, vegetables (from Nagasaki),ちゃんぽん
chewable (pill),ちゅあぶる
chewing gum,ちゅーいんがむ
whimbrel (species of curlew, Numenius phaeopus),ちゅうしゃくしぎ
Tuesday,ちゅーずでー
tutor,ちゅーたー
Tudor dynasty (of England; 1485-1603),ちゅーだーおうちょう
Tudor dynasty (of England; 1485-1603),ちゅーだーちょう
squeak (sound made by a mouse),ちゅーちゅー
cheep,ちゅーちゅー
peep,ちゅーちゅー
to squeak,ちゅーちゅーなく
to chirp,ちゅーちゅーなく
to twitter,ちゅーちゅーなく
tutorial,ちゅーとりある
Teuton,ちゅーとん
tuner (e.g. radio),ちゅーな
tuna (edible fish, Thunnus spp.),ちゅーな
tuner (e.g. radio),ちゅーなー
tuning,ちゅーにんぐ
tuba,ちゅーば
shochu with tonic water,ちゅーはい
eastern marsh harrier (Circus spilonotus),ちゅうひ
tubing,ちゅーびんぐ
tube,ちゅーぶ
tubular bells,ちゅーぶらーべるず
tubulin,ちゅーぶりん
tubeless tire,ちゅーぶれすたいや
tubeless tyre,ちゅーぶれすたいや
tuberose (Polianthes tuberosa),ちゅーべろーず
Zurich,ちゅーりっひ
tulip,ちゅーりっぷ
tulip,ちゅうりっぷ
tulip tree (Liriodendron tulipifera),ちゅーりっぷつりー
Turing,ちゅーりんぐ
Turing machine,ちゅーりんぐきかい
Turing's test,ちゅーりんぐてすと
Turing machine,ちゅーりんぐましん
tulle,ちゅーる
tune,ちゅーん
tune-up,ちゅーんあっぷ
tune up,ちゅーんなっぷ
Tunisia,ちゅにじあ
tunic,ちゅにっく
tunic coat,ちゅにっくこーと
hanzi-based Vietnamese script,ちゅのむ
chu nom,ちゅのむ
tuberose (Polianthes tuberosa),ちゅべろーず
churinga,ちゅりんが
Turkic (branch of languages),ちゅるくごは
choice,ちょいす
selection,ちょいす
common kestrel (Falco tinnunculus),ちょうげんぼう
clove cherry (Prunus apetala),ちょうじざくら
Beyrich's slit shell (species of sea snail, Pleurotomaria beyrichii),ちょうじゃがい
Korean yellow weasel (Mustela sibirica coreana),ちょうせんいたち
roundtail paradisefish (Macropodus ocellatus),ちょうせんぶな
Chinese mugwort (Artemisia argyi),ちょうせんよもぎ
Argy wormwood,ちょうせんよもぎ
Argy's wormwood,ちょうせんよもぎ
Korean golden bells,ちょうせんれんぎょう
Forsythia vahl,ちょうせんれんぎょう
Oriental butterflyfish (Chaetodon auripes),ちょうちょううお
butterflyfish (any species of genus Chaetodon),ちょうちょううお
football fish (any fish of family Himantolophidae, esp. the Atlantic footballfish, Himantolophus groenlandicus),ちょうちんあんこう
fermented tofu,ちょうどうふ
stinky tofu,ちょうどうふ
smelly tofu,ちょうどうふ
butterfly pea (Clitoria ternatea),ちょうまめ
Asian pigeonwings,ちょうまめ
Lepidoptera,ちょうもく
Lepidoptera,ちょうもく
super-,ちょー
ultra-,ちょー
hyper-,ちょー
very, really (conversational),ちょー
choker (type of necklace),ちょーかー
choking,ちょーきんぐ
chalk,ちょーく
choke,ちょーく
chock,ちょーく
choke coil,ちょーくこいる
choking coil,ちょーくこいる
chalk stripe,ちょーくすとらいぷ
head butt,ちょーぱん
scissors (in rock paper scissors game),ちょき
snipping sound,ちょきちょき
cutting sound,ちょきちょき
to cut,ちょきちょき
choco(late),ちょこ
chocolate croissant,ちょこくろ
choco cornet,ちょこころね
chocolate chips,ちょこちっぷ
chocolate chip,ちょこちっぷ
chocolate,ちょこれーと
chocolate brown,ちょこれーといろ
chocolate cake,ちょこれーとけーき
hangul script (North Korean name) (kor: choson'gul),ちょそんくる
hangul script (North Korean name) (kor: choson'gul),ちょそんぐる
waistcoat (por: jaque),ちょっき
vest,ちょっき
chock,ちょっく
chockstone,ちょっくすとーん
chopper,ちょっぱー
very fast,ちょっぱや
very early,ちょっぱや
chopping tool,ちょっぴんぐつーる
chop,ちょっぷ
very, very good (teen slang),ちょべりぐ
very, very bad (teen slang),ちょべりば
dot,ちょぼ
point,ちょぼ
mark,ちょぼ
gidayuu musicians (in kabuki),ちょぼ
very sickening (teen slang),ちょむか
chorizo,ちょりそ
chorizo,ちょりそー
Chinese artichoke,ちょろぎ
abusive term used to refer to Koreans,ちょん
idiot,ちょん
Korean currency unit (1-100 of a won),ちょん
gook (pejorative term for Koreans),ちょんかす
term for Korea,ちょんこく
thylakoid,ちらこいど
scattering,ちらし
leaflets,ちらし
fluttering,ちらちら
flickering,ちらちら
intermittently,ちらちら
flickering (e.g. on a video display),ちらつき
Tyrannosaurus Rex,ちらのさうるす
glancing look,ちらみ
giving someone a peek (of cleavage, etc.),ちらみせ
tyramine,ちらみん
Chile,ちり
chili con carne,ちりこんかーん
chili con carne,ちりこんかるね
Chile saltpeter,ちりしょうせき
soda nitre,ちりしょうせき
chili sauce,ちりそーす
chili powder,ちりぱうだー
chili pepper,ちりぺっぱー
tilde,ちるだ
tilt,ちると
chilled,ちるど
tilde,ちるど
chilled casting,ちるどきゃすちんぐ
chilled beef,ちるどびーふ
children,ちるどれん
chilled roll,ちるどろーる
Thyroxin,ちろきしん
tyrosine,ちろしん
Tyrolean hat,ちろりあんはっと
Tyrol,ちろる
chihuahua,ちわわ
Zhuang (Chinese ethnic minority group),ちわんぞく
Chuang,ちわんぞく
chin,ちん
ding (sound of a bell),ちん
bing,ちん
to cook (or heat) in a microwave oven (from the 'ching' timer bell),ちん
sneeze (into a tissue, used with children),ちん
smegma,ちんかす
tincture,ちんきざい
zinc oxide oil,ちんくゆ
worst,ちんけ
poor and boring,ちんけ
uncool,ちんけ
qinggengcai (spinach-like green vegetable originating in China),ちんげんさい
pak choi,ちんげんさい
bok choi,ちんげんさい
bok choy,ちんげんさい
qinggengcai (spinach-like green vegetable originating in China),ちんげんさい
pak choi,ちんげんさい
bok choi,ちんげんさい
bok choy,ちんげんさい
sorbaria,ちんしばい
Okinawan sweet,ちんすこー
chinchilla,ちんちら
chimpanzee,ちんぱんじー
chimp,ちんぱんじー
hoodlum,ちんぴら
small time yakuza,ちんぴら
tsar,つぁー
czar,つぁー
tzar,つぁー
tour,つあー
tour of ...,つあーおぶ
tour conductor,つあーこんだくたー
tsar,つぁーり
czar,つぁーり
tzar,つぁーり
tsarizm,つぁーりずむ
czarism,つぁーりずむ
tsarism,つぁーりずむ
tsar,つぁーる
czar,つぁーる
tzar,つぁーる
